BureauID,Name,SSN,CreditScore,NumDefaults,InquiriesLast6Mo
B001,Norma Fisher,266-66-7962,566,3,3
B002,Colleen Taylor,144-97-1554,649,1,4
B003,Brett Jones,871-88-5410,693,0,4
B004,Juan Ramos,534-34-1021,707,1,2
B005,Lisa Clayton,342-32-5329,675,2,3
B006,Jo Miller,328-66-8017,580,1,4
B007,Christina Lloyd,561-76-4713,633,2,0
B008,Roberto Johnson,673-34-7808,715,3,5
B009,Stephanie Leblanc,554-88-6411,711,2,1
B010,Tiffany Riley,462-64-5856,734,1,1
B011,Alan Nelson,723-29-6096,523,0,2
B012,Amber Berry,548-78-1213,641,2,5
B013,Roy Wilson,621-03-3189,708,1,4
B014,Kimberly Oliver,856-34-1147,652,3,2
B015,Kyle Lyons,401-26-4263,548,1,0
B016,Christina Saunders,808-87-2593,522,1,1
B017,John Ortiz,583-66-5103,736,3,5
B018,Bob Stevenson,558-36-2210,560,1,5
B019,Stephanie Nash,136-92-5084,615,3,5
B020,Caitlin Walker,459-49-9309,656,0,3
