CustomerID,Name,SSN,Region,CustomerSince,TotalLoans,LatePayments
Cust001,Norma Fisher,266-66-7962,West,26 02 2022,4,0
Cust002,Colleen Taylor,144-97-1554,East,12 07 2019,4,2
Cust003,Brett Jones,871-88-5410,South,19 04 2023,3,1
Cust004,Juan Ramos,534-34-1021,East,04 07 2015,5,5
Cust005,Lisa Clayton,342-32-5329,North,03 05 2016,1,6
Cust006,Jo Miller,328-66-8017,North,13 02 2017,3,3
Cust007,Christina Lloyd,561-76-4713,West,02 11 2022,4,6
Cust008,Roberto Johnson,673-34-7808,North,10 06 2016,1,5
Cust009,Stephanie Leblanc,554-88-6411,North,10 03 2024,5,3
Cust010,Tiffany Riley,462-64-5856,East,31 08 2016,1,1
Cust011,Alan Nelson,723-29-6096,South,02 03 2018,5,3
Cust012,Amber Berry,548-78-1213,West,20 09 2015,1,2
Cust013,Roy Wilson,621-03-3189,North,31 05 2018,5,2
Cust014,Kimberly Oliver,856-34-1147,East,09 01 2019,4,0
Cust015,Kyle Lyons,401-26-4263,South,13 05 2021,3,1
Cust016,Christina Saunders,808-87-2593,East,08 01 2018,4,0
Cust017,John Ortiz,583-66-5103,North,05 05 2021,1,5
Cust018,Bob Stevenson,558-36-2210,East,09 05 2019,5,6
Cust019,Stephanie Nash,136-92-5084,West,13 11 2021,5,2
Cust020,Caitlin Walker,459-49-9309,East,26 04 2022,1,2
